Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
135,0.25mm (9.84mils),PTH,Round,"L1 (Sig, GND) - L4 (Sig, GND)",Via
4,0.80mm (31.50mils),PTH,Round,"L1 (Sig, GND) - L4 (Sig, GND)",Pad
145,1.00mm (39.37mils),PTH,Round,"L1 (Sig, GND) - L4 (Sig, GND)",Pad
18,1.10mm (43.31mils),PTH,Round,"L1 (Sig, GND) - L4 (Sig, GND)",Pad
8,1.20mm (47.24mils),PTH,Round,"L1 (Sig, GND) - L4 (Sig, GND)",Pad
40,1.30mm (51.18mils),PTH,Round,"L1 (Sig, GND) - L4 (Sig, GND)",Pad
20,1.60mm (62.99mils),PTH,Round,"L1 (Sig, GND) - L4 (Sig, GND)",Pad
2,2.20mm (86.61mils),PTH,Round,"L1 (Sig, GND) - L4 (Sig, GND)",Pad
2,3.05mm (120.08mils),PTH,Round,"L1 (Sig, GND) - L4 (Sig, GND)",Pad
2,3.16mm (124.50mils),PTH,Round,"L1 (Sig, GND) - L4 (Sig, GND)",Pad
10,3.20mm (125.98mils),PTH,Round,"L1 (Sig, GND) - L4 (Sig, GND)",Pad
1,3.64mm (143.31mils),PTH,Round,"L1 (Sig, GND) - L4 (Sig, GND)",Pad
Total 387,,,,,
